Timestamp,Review,lowercased,urls_removed,html_removed,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized,tokenized
2025/02/10 7:40:54 pm GMT+8,"Im happy with uniten actually, even the people are W","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w","im happy with The National Energy University  actually, even the people are win","im happy with The National Energy University  actually, even the people are win",im happy with The National Energy University  actually even the people are win,im happy with The National Energy University  actually even the people are win,im happy with The National Energy University  actually even the people are win,im happy National Energy University actually even people win,im happi nation energi univers actual even peopl win,im happy National Energy University actually even people win,"['im', 'happy', 'National', 'Energy', 'University', 'actually', 'even', 'people', 'win']"
2025/02/10 7:41:00 pm GMT+8,"I’m having a pretty good time here, happy to meet all of the W people.","i’m having a pretty good time here, happy to meet all of the w people.","i’m having a pretty good time here, happy to meet all of the w people.","i’m having a pretty good time here, happy to meet all of the w people.","i’m having a pretty good time here, happy to meet all of the w people.","i’m having a pretty good time here, happy to meet all of the win people.","i’m having a pretty good time here, happy to meet all of the win people.",i’m having a pretty good time here happy to meet all of the win people,i’m having a pretty good time here happy to meet all of the win people,i’m having a pretty good time here happy to meet all of the win people,i’m pretty good time happy meet win people,i’m pretti good time happi meet win peopl,i ’ m pretty good time happy meet win people,"['i', '’', 'm', 'pretty', 'good', 'time', 'happy', 'meet', 'win', 'people']"
2025/02/10 7:41:19 pm GMT+8,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,neutral place terms everything,neutral place term everyth,neutral place term everything,"['neutral', 'place', 'term', 'everything']"
2025/02/10 7:46:40 pm GMT+8,"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say The National Energy University  it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say The National Energy University  it is  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.",i would say The National Energy University  it is  a good university  but there is some issue need to be improved such as transportationwifi networks and other facilities  as well,i would say The National Energy University  it is  a good university  but there is some issue need to be improved such as transportationwifi networks and other facilities  as well,i would say The National Energy University  it is  a good university  but there is some issue need to be improved such as transportationwifi networks and other facilities  as well,would say National Energy University good university issue need improved transportationwifi networks facilities well,would say nation energi univers good univers issu need improv transportationwifi network facil well,would say National Energy University good university issue need improve transportationwifi network facility well,"['would', 'say', 'National', 'Energy', 'University', 'good', 'university', 'issue', 'need', 'improve', 'transportationwifi', 'network', 'facility', 'well']"
2025/02/10 7:46:43 pm GMT+8," UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," The National Energy University  is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," The National Energy University  is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it is make hard to find.", The National Energy University  is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it is make hard to find, The National Energy University  is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till  year now and there are limited parking so it is make hard to find, The National Energy University  is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till  year now and there are limited parking so it is make hard to find,National Energy University wellregarded particularly strong engineering computer science business programs solid reputation malaysia especially energyrelated fields negative part facilities swimming pool close since first year till year limited parking make hard find,nation energi univers wellregard particularli strong engin comput scienc busi program solid reput malaysia especi energyrel field neg part facil swim pool close sinc first year till year limit park make hard find,National Energy University wellregarded particularly strong engineering computer science business program solid reputation malaysia especially energyrelated field negative part facility swim pool close since first year till year limit park make hard find,"['National', 'Energy', 'University', 'wellregarded', 'particularly', 'strong', 'engineering', 'computer', 'science', 'business', 'program', 'solid', 'reputation', 'malaysia', 'especially', 'energyrelated', 'field', 'negative', 'part', 'facility', 'swim', 'pool', 'close', 'since', 'first', 'year', 'till', 'year', 'limit', 'park', 'make', 'hard', 'find']"
2025/02/10 7:50:23 pm GMT+8,Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently The National Energy University  has developed various new facilities for The National Energy University  students such as 24 hours emart... personally for the negative side i would say that The National Energy University  needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently The National Energy University  has developed various new facilities for The National Energy University  students such as 24 hours emart... personally for the negative side i would say that The National Energy University  needs to fix the broken toilet in the library and bm/bn buildings,neutral  because currently The National Energy University  has developed various new facilities for The National Energy University  students such as 24 hours emart personally for the negative side i would say that The National Energy University  needs to fix the broken toilet in the library and bmbn buildings,neutral  because currently The National Energy University  has developed various new facilities for The National Energy University  students such as  hours emart personally for the negative side i would say that The National Energy University  needs to fix the broken toilet in the library and bmbn buildings,neutral  because currently The National Energy University  has developed various new facilities for The National Energy University  students such as  hours smart personally for the negative side i would say that The National Energy University  needs to fix the broken toilet in the library and been buildings,neutral currently National Energy University developed various new facilities National Energy University students hours smart personally negative side would say National Energy University needs fix broken toilet library buildings,neutral current nation energi univers develop variou new facil nation energi univers student hour smart person neg side would say nation energi univers need fix broken toilet librari build,neutral currently National Energy University develop various new facility National Energy University student hour smart personally negative side would say National Energy University need fix broken toilet library building,"['neutral', 'currently', 'National', 'Energy', 'University', 'develop', 'various', 'new', 'facility', 'National', 'Energy', 'University', 'student', 'hour', 'smart', 'personally', 'negative', 'side', 'would', 'say', 'National', 'Energy', 'University', 'need', 'fix', 'broken', 'toilet', 'library', 'building']"
2025/02/10 7:51:50 pm GMT+8,regret,regret,regret,regret,regret,regret,regret,regret,regret,regret,regret,regret,regret,['regret']
2025/02/10 7:56:00 pm GMT+8,"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, The National Energy University  is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, The National Energy University  is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.",in my opinion The National Energy University  is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students also low compared to other universities,in my opinion The National Energy University  is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students also low compared to other universities,in my opinion The National Energy University  is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students also low compared to other universities,opinion National Energy University really studentoriented university even though private university facility wellmaintained condition flexibility using facilities low number students also low compared universities,opinion nation energi univers realli studentori univers even though privat univers facil wellmaintain condit flexibl use facil low number student also low compar univers,opinion National Energy University really studentoriented university even though private university facility wellmaintained condition flexibility use facility low number student also low compare university,"['opinion', 'National', 'Energy', 'University', 'really', 'studentoriented', 'university', 'even', 'though', 'private', 'university', 'facility', 'wellmaintained', 'condition', 'flexibility', 'use', 'facility', 'low', 'number', 'student', 'also', 'low', 'compare', 'university']"
2025/02/10 7:57:43 pm GMT+8,"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","The National Energy University  today is the shadow of its former self. what attracted me to The National Energy University  in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","The National Energy University  today is the shadow of its former self. what attracted me to The National Energy University  in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.",The National Energy University  today is the shadow of its former self what attracted me to The National Energy University  in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinitely better the hostel room application is ridiculous the only pros that i could ever think of is the location of the campus that is situated near to major cities,The National Energy University  today is the shadow of its former self what attracted me to The National Energy University  in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinitely better the hostel room application is ridiculous the only pros that i could ever think of is the location of the campus that is situated near to major cities,The National Energy University  today is the shadow of its former self what attracted me to The National Energy University  in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinitely better the hostel room application is ridiculous the only pros that i could ever think of is the location of the campus that is situated near to major cities,National Energy University today shadow former self attracted National Energy University first place anymore eg faculty building student dedicated website terrible name thousands thousands website infinitely better hostel room application ridiculous pros could ever think location campus situated near major cities,nation energi univers today shadow former self attract nation energi univers first place anymor eg faculti build student dedic websit terribl name thousand thousand websit infinit better hostel room applic ridicul pro could ever think locat campu situat near major citi,National Energy University today shadow former self attract National Energy University first place anymore eg faculty building student dedicate website terrible name thousand thousand website infinitely good hostel room application ridiculous pro could ever think location campus situate near major city,"['National', 'Energy', 'University', 'today', 'shadow', 'former', 'self', 'attract', 'National', 'Energy', 'University', 'first', 'place', 'anymore', 'eg', 'faculty', 'building', 'student', 'dedicate', 'website', 'terrible', 'name', 'thousand', 'thousand', 'website', 'infinitely', 'good', 'hostel', 'room', 'application', 'ridiculous', 'pro', 'could', 'ever', 'think', 'location', 'campus', 'situate', 'near', 'major', 'city']"
2025/02/10 7:58:31 pm GMT+8,The great place and people that I will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever ,great place people remember forever,great place peopl rememb forev,great place people remember forever,"['great', 'place', 'people', 'remember', 'forever']"
